* 0
inX393 0 0
inX394 0 0
inX395 0 0.0100001
inX396 0 0.0100001
inX397 0 0.0100001
inX398 0 0.0100001
inX399 0 0.0100001
inX400 0 0.0100001
inX401 0 0.0100001
inX402 0 0.0100001
inX403 0 0.0100001
inX404 0 0.0100001
inX405 0 0.0100001
inX406 0 0.0100001
inX407 0 0.0100001
inX408 0.0642188 0.0842188
inX409 0.806407 0.826407
inX410 0.978282 0.998282
inX411 0.978282 0.998282
inX412 0.833751 0.853751
inX413 0.0485938 0.0685938
inX414 0 0.0100001
inX415 0 0.0100001
inX416 0 0.0100001
inX417 0 0
inX418 0 0
inX419 0 0
inX420 0 0
inX421 0 0
inX422 0 0
inX423 0 0.0100001
inX424 0 0.0100001
inX425 0 0.0100001
inX426 0 0.0100001
inX427 0 0.0100001
inX428 0 0.0100001
inX429 0 0.0100001
inX430 0 0.0100001
inX431 0 0.0100001
inX432 0 0.0100001
inX433 0 0.0100001
inX434 0 0.0100001
inX435 0 0.0100001
inX436 0.384532 0.404532
inX437 0.978282 0.998282
inX438 0.978282 0.998282
inX439 0.978282 0.998282
inX440 0.599376 0.619376
inX441 0 0.0100001
inX442 0 0.0100001
inX443 0 0.0100001
inX444 0 0.0100001
inX445 0 0
inX446 0 0
inX447 0 0
inX448 0 0
inX449 0 0
inX450 0 0
inX451 0 0.0100001
inX452 0 0.0100001
inX453 0 0.0100001
inX454 0 0.0100001
inX455 0 0.0100001
inX456 0 0.0100001
inX457 0 0.0100001
inX458 0 0.0100001
inX459 0 0.0100001
inX460 0 0.0100001
inX461 0 0.0100001
inX462 0 0.0100001
inX463 0.126719 0.146719
inX464 0.966563 0.986563
inX465 0.978282 0.998282
inX466 0.978282 0.998282
inX467 0.978282 0.998282
inX468 0.150157 0.170157
inX469 0 0.0100001
inX470 0 0.0100001
inX471 0 0.0100001
inX472 0 0.0100001
inX473 0 0
inX474 0 0
inX475 0 0
inX476 0 0
inX477 0 0
inX478 0 0
inX479 0 0.0100001
inX480 0 0.0100001
inX481 0 0.0100001
inX482 0 0.0100001
inX483 0 0.0100001
inX484 0 0.0100001
inX485 0 0.0100001
inX486 0 0.0100001
inX487 0 0.0100001
inX488 0 0.0100001
inX489 0 0.0100001
inX490 0 0.0100001
inX491 0.607188 0.627188
inX492 0.986094 1
inX493 0.982188 1
inX494 0.982188 1
inX495 0.626719 0.646719
inX496 0 0.0100001
inX497 0 0.0100001
inX498 0 0.0100001
inX499 0 0.0100001
inX500 0 0.0100001
inX501 0 0
inX502 0 0
inX503 0 0
inX504 0 0
inX505 0 0
inX506 0 0
inX507 0 0.0100001
inX508 0 0.0100001
inX509 0 0.0100001
inX510 0 0.0100001
inX511 0 0.0100001
inX512 0 0.0100001
inX513 0 0.0100001
inX514 0 0.0100001
inX515 0 0.0100001
inX516 0 0.0100001
inX517 0 0.0100001
inX518 0.0915626 0.111563
inX519 0.818126 0.838126
inX520 0.978282 0.998282
inX521 0.978282 0.998282
inX522 0.950938 0.970938
inX523 0.157969 0.177969
inX524 0 0.0100001
inX525 0 0.0100001
inX526 0 0.0100001
inX527 0 0.0100001
inX528 0 0.0100001
inX529 0 0
inX530 0 0
inX531 0 0
inX532 0 0
inX533 0 0
inX534 0 0
inX535 0 0.0100001
inX536 0 0.0100001
inX537 0 0.0100001
inX538 0 0.0100001
inX539 0 0.0100001
inX540 0 0.0100001
inX541 0 0.0100001
inX542 0 0.0100001
inX543 0 0.0100001
inX544 0 0.0100001
inX545 0.0212501 0.0412501
inX546 0.818126 0.838126
inX547 0.978282 0.998282
inX548 0.978282 0.998282
inX549 0.978282 0.998282
inX550 0.626719 0.646719
inX551 0 0.0100001
inX552 0 0.0100001
inX553 0 0.0100001
inX554 0 0.0100001
inX555 0 0.0100001
inX556 0 0.0100001
inX557 0 0
inX558 0 0
inX559 0 0
inX560 0 0
inX561 0 0
inX562 0 0
inX563 0 0.0100001
inX564 0 0.0100001
inX565 0 0.0100001
inX566 0 0.0100001
inX567 0 0.0100001
inX568 0 0.0100001
inX569 0 0.0100001
inX570 0 0.0100001
inX571 0 0.0100001
inX572 0 0.0100001
inX573 0.130626 0.150626
inX574 0.978282 0.998282
inX575 0.978282 0.998282
inX576 0.978282 0.998282
inX577 0.978282 0.998282
inX578 0.224376 0.244376
inX579 0 0.0100001
inX580 0 0.0100001
inX581 0 0.0100001
inX582 0 0.0100001
inX583 0 0.0100001
inX584 0 0.0100001
inX585 0 0
inX586 0 0
inX587 0 0
inX588 0 0
inX589 0 0
inX590 0 0
inX591 0 0.0100001
inX592 0 0.0100001
inX593 0 0.0100001
inX594 0 0.0100001
inX595 0 0.0100001
inX596 0 0.0100001
inX597 0 0.0100001
inX598 0 0.0100001
inX599 0 0.0100001
inX600 0 0.0100001
inX601 0.622813 0.642813
inX602 0.978282 0.998282
inX603 0.978282 0.998282
inX604 0.978282 0.998282
inX605 0.923594 0.943594
inX606 0.169688 0.189688
inX607 0 0.0100001
inX608 0 0.0100001
inX609 0 0.0100001
inX610 0 0.0100001
inX611 0 0.0100001
inX612 0 0.0100001
inX613 0 0
inX614 0 0
inX615 0 0
inX616 0 0
inX617 0 0
inX618 0 0
inX619 0 0.0100001
inX620 0 0.0100001
inX621 0 0.0100001
inX622 0 0.0100001
inX623 0 0.0100001
inX624 0 0.0100001
inX625 0 0.0100001
inX626 0 0.0100001
inX627 0 0.0100001
inX628 0.353282 0.373282
inX629 0.982188 1
inX630 0.978282 0.998282
inX631 0.978282 0.998282
inX632 0.978282 0.998282
inX633 0.384532 0.404532
inX634 0 0.0100001
inX635 0 0.0100001
inX636 0 0.0100001
inX637 0 0.0100001
inX638 0 0.0100001
inX639 0 0.0100001
inX640 0 0.0100001
inX641 0 0
inX642 0 0
inX643 0 0
inX644 0 0
inX645 0 0
inX646 0 0
inX647 0 0.0100001
inX648 0 0.0100001
inX649 0 0.0100001
inX650 0 0.0100001
inX651 0 0.0100001
inX652 0 0.0100001
inX653 0 0.0100001
inX654 0 0.0100001
inX655 0 0.0100001
inX656 0.622813 0.642813
inX657 0.982188 1
inX658 0.978282 0.998282
inX659 0.978282 0.998282
inX660 0.825938 0.845938
inX661 0.0446876 0.0646876
inX662 0 0.0100001
inX663 0 0.0100001
inX664 0 0.0100001
inX665 0 0.0100001
inX666 0 0.0100001
inX667 0 0.0100001
inX668 0 0.0100001
inX669 0 0
inX670 0 0
inX671 0 0
inX672 0 0
inX673 0 0
inX674 0 0
inX675 0 0.0100001
inX676 0 0.0100001
inX677 0 0.0100001
inX678 0 0.0100001
inX679 0 0.0100001
inX680 0 0.0100001
inX681 0 0.0100001
inX682 0 0.0100001
inX683 0 0.0100001
inX684 0.935313 0.955313
inX685 0.982188 1
inX686 0.978282 0.998282
inX687 0.923594 0.943594
inX688 0.259532 0.279532
inX689 0 0.0100001
inX690 0 0.0100001
inX691 0 0.0100001
inX692 0 0.0100001
inX693 0 0.0100001
inX694 0 0.0100001
inX695 0 0.0100001
inX696 0 0.0100001
inX697 0 0
inX698 0 0
inX699 0 0
inX700 0 0
inX701 0 0
inX702 0 0
inX703 0 0.0100001
inX704 0 0.0100001
inX705 0 0.0100001
inX706 0 0.0100001
inX707 0 0.0100001
inX708 0 0.0100001
inX709 0 0.0100001
inX710 0 0.0100001
inX711 0 0.0100001
inX712 0.732188 0.752188
inX713 0.982188 1
inX714 0.978282 0.998282
inX715 0.634532 0.654532
inX716 0 0.0100001
inX717 0 0.0100001
inX718 0 0.0100001
inX719 0 0.0100001
inX720 0 0.0100001
inX721 0 0.0100001
inX722 0 0.0100001
inX723 0 0.0100001
inX724 0 0.0100001
inX725 0 0
inX726 0 0
inX727 0 0
inX728 0 0
inX729 0 0
inX730 0 0
inX731 0 0
inX732 0 0
inX733 0 0
inX734 0 0
inX735 0 0
inX736 0 0
inX737 0 0
inX738 0 0
inX739 0 0
inX740 0.0234375 0.0234375
inX741 0.539063 0.539063
inX742 0.71875 0.71875
inX743 0.199219 0.199219
inX744 0 0
inX745 0 0
inX746 0 0
inX747 0 0
inX748 0 0
inX749 0 0
inX750 0 0
inX751 0 0
inX752 0 0
inX753 0 0
inX754 0 0
inX755 0 0
inX756 0 0
inX757 0 0
inX758 0 0
inX759 0 0
inX760 0 0
inX761 0 0
inX762 0 0
inX763 0 0
inX764 0 0
inX765 0 0
inX766 0 0
inX767 0 0
inX768 0 0
inX769 0 0
inX770 0 0
inX771 0 0
inX772 0 0
inX773 0 0
inX774 0 0
inX775 0 0
inX776 0 0
inX777 0 0
inX778 0 0
inX779 0 0
inX780 0 0
inX781 0 0
inX782 0 0
inX783 0 0
* 1
relu1X0 5.375467685271302	5.794775895266196	
relu1X1 -2.018740583921085	-1.573029804744409	
relu1X2 -0.5069062729968705	-0.1328923304571127	
relu1X3 -1.059488952990906	-0.5394507108335508	
relu1X4 -4.450209413094722	-3.985993955051797	
relu1X5 -2.037213482594693	-1.621086350896047	
relu1X6 -0.1786254456284848	-0.03892932879764744	
relu1X7 3.708440039771371	4.087087856095774	
relu1X8 -4.76119904575717	-4.310585413652841	
relu1X9 4.442637857591723	4.939038800786348	
relu1X10 0.3736233423359366	0.8201905111334982	
relu1X11 1.551477340423881	1.95305678719278	
relu1X12 3.558988257043299	4.027051999853786	
relu1X13 2.645942428895961	3.069912998890045	
relu1X14 -0.3062580720462964	0.1345848597741919	
relu1X15 -1.415907166573586	-0.9744463633182597	
relu1X16 -3.314944931353392	-2.894078033880501	
relu1X17 0.1190785444967158	0.5291545981109719	
relu1X18 3.139485612878447	3.585299829183146	
relu1X19 2.848639027482922	3.261400537847763	
* 2
relu2X0 6.503567250361274	7.07763688533573	
relu2X1 3.94653371572078	4.416870583719561	
relu2X2 0.8456789216075761	1.276955041677741	
relu2X3 0.5603810903248295	1.080271073670326	
relu2X4 -4.980340667207516	-4.388538295408069	
relu2X5 -0.7099254714178765	-0.5168862381623344	
relu2X6 -2.682887431651821	-2.291023088942181	
relu2X7 -0.5823999742067256	-0.1647690151365428	
relu2X8 -1.646693598953287	-1.257574632594567	
relu2X9 1.696109168870756	2.433405808552981	
relu2X10 6.507645063505226	7.023234897634915	
relu2X11 3.750831826807405	4.20838761504411	
relu2X12 -3.327639379070388	-2.68977995427859	
relu2X13 1.162204545265382	1.455387372719479	
relu2X14 2.404854302730962	2.996180786650026	
relu2X15 4.383219933215417	4.837424526596614	
relu2X16 0.3622451571686482	0.7414406854900167	
relu2X17 3.740357356800082	4.249419127230728	
relu2X18 -3.351569597767567	-2.793664859042544	
relu2X19 -0.4258704709206476	-0.1903163281318148	
* 3
relu3X0 0.7297060300980776	1.571522338169865	
relu3X1 -0.5727178225093899	0.1269241932724583	
relu3X2 4.413158666202143	5.462587606278011	
relu3X3 4.740568148168253	5.202689947246088	
relu3X4 1.512695495862666	1.933862330956019	
relu3X5 8.379664385998761	8.950085907708293	
relu3X6 -3.063937669666154	-2.679485997011155	
relu3X7 -1.904758588679865	-0.9373326455100943	
relu3X8 -3.300078107705282	-2.69016829365847	
relu3X9 -2.322850801300935	-1.84552083147434	
relu3X10 0.06272092410487948	0.5495050838569582	
relu3X11 5.317307240413259	5.8031689463567	
relu3X12 4.749407054128162	5.152639893028602	
relu3X13 1.404636110793063	1.986764228045493	
relu3X14 7.2558385293297	7.812248542196115	
relu3X15 -1.997661429821922	-1.607968225145449	
relu3X16 2.245666920602635	2.798873120883541	
relu3X17 -2.720644286399202	-2.269999019846869	
relu3X18 2.226130381503972	2.769251317131586	
relu3X19 -3.592203184709283	-3.119426603005615	
* 4
resX0 -2.614943477360031	-1.070268480014077	
resX1 -0.8523624930695365	-0.09417085812448436	
resX2 0.3761208470419222	1.246545528113613	
resX3 2.426897333064286	3.022566552257101	
resX4 -13.80011934767516	-12.48965932332944	
resX5 -1.769471215811333	-0.5931959496277799	
resX6 -9.82265260630246	-8.893561522625782	
resX7 10.71578585910807	11.93815706271317	
resX8 -2.733934689224255	-1.810498231340304	
resX9 1.380011653003976	2.441551876333654	
* 5
outX0 -2.614943477360031	-1.070268480014077	
outX1 -0.8523624930695365	-0.09417085812448436	
outX2 0.3761208470419222	1.246545528113613	
outX3 2.426897333064286	3.022566552257101	
outX4 -13.80011934767516	-12.48965932332944	
outX5 -1.769471215811333	-0.5931959496277799	
outX6 -9.82265260630246	-8.893561522625782	
outX7 10.71578585910807	11.93815706271317	
outX8 -2.733934689224255	-1.810498231340304	
outX9 1.380011653003976	2.441551876333654	
Failed.
